institution|benefit|title|text|N||
institution|benefit|description|text|Y||
institution|benefit|value_display|text|Y||
institution|benefit|is_guaranteed|boolean|N|false|
institution|benefit|conditions|text|Y||
institution|benefit|valid_from|date|Y||
institution|benefit|valid_until|date|Y||
institution|benefit|is_active|boolean|N|true|
institution|benefit|created_by|uuid|Y||FK institution.member
institution|benefit|created_at|timestamptz|N|now()|
institution|benefit|updated_at|timestamptz|N|now()|
institution|benefit_cat|id|uuid|N|gen_random_uuid()|PK
institution|benefit_cat|code|text|N||
institution|benefit_cat|label|text|N||
institution|benefit_cat|icon_key|text|Y||
institution|benefit_cat|sort_order|integer|N|0|
institution|benefit_cat|created_at|timestamptz|N|now()|
institution|committee_member|id|uuid|N|gen_random_uuid()|PK
institution|committee_member|committee_id|uuid|N||FK institution.approval_committee
institution|committee_member|member_id|uuid|N||
institution|committee_member|role|text|N|'member'|chair / member
institution|committee_member|is_voting|boolean|N|true|
institution|committee_member|valid_from|date|N|CURRENT_DATE|
institution|committee_member|valid_to|date|Y||
institution|committee_member|created_by|uuid|N||
institution|committee_member|created_at|timestamptz|N|now()|
institution|doa_rule|id|uuid|N|gen_random_uuid()|PK
institution|doa_rule|institution_id|uuid|N||
institution|doa_rule|entity_type|text|N||
institution|doa_rule|priority|integer|N||lowest wins
institution|doa_rule|conditions|jsonb|N|'{}'|
institution|doa_rule|template_id|uuid|N||FK institution.approval_template
institution|doa_rule|status|text|N|'active'|
institution|doa_rule|created_by|uuid|N||
institution|doa_rule|created_at|timestamptz|N|now()|
institution|doc|id|uuid|N|gen_random_uuid()|PK
institution|doc|institution_id|uuid|N||FK institution.institution
institution|doc|doc_type_id|uuid|N||FK institution.doc_type
institution|doc|storage_path|text|N||
institution|doc|file_name|text|N||
institution|doc|mime_type|text|Y||
institution|doc|status|text|N|'pending'|
institution|doc|expiry_date|date|Y||
institution|doc|rejection_reason|text|Y||
institution|doc|reviewed_by|uuid|Y||FK portal_admin.admin_users
